14.05.2019 13:00;TevaRobots;Jens;Pelastus A
14.05.2019 13:10;Ambu;Jens;Pelastus A
14.05.2019 13:20;Pelastus Team;Jens;Pelastus A
14.05.2019 13:30;Team SiNiMa;Jens;Pelastus A
14.05.2019 13:40;Nuufa;Jens;Pelastus A
14.05.2019 13:50;Aha-tiim;Jens;Pelastus A
14.05.2019 14:00;SandWich SSA;Jens;Pelastus A
14.05.2019 14:10;TiiTaavit;Jens;Pelastus A
14.05.2019 14:20;Destroyer;Jens;Pelastus A
14.05.2019 14:30;CoderKing;Jens;Pelastus A
14.05.2019 14:40;Nimettömät;Jens;Pelastus A
14.05.2019 14:50;Palomiehet;Jens;Pelastus A
14.05.2019 15:00;Gopnik squad;Jens;Pelastus A
14.05.2019 15:10;Marsmallows;Jens;Pelastus A
14.05.2019 15:20;Comets;Jens;Pelastus A
