15.05.2019 9:10;TevaRobots;Jens;Pelastus A
15.05.2019 9:20;Ambu;Jens;Pelastus A
15.05.2019 9:30;Pelastus Team;Jens;Pelastus A
15.05.2019 9:40;Team SiNiMa;Jens;Pelastus A
15.05.2019 9:50;Nuufa;Jens;Pelastus A
15.05.2019 10:00;Aha-tiim;Jens;Pelastus A
15.05.2019 10:10;SandWich SSA;Jens;Pelastus A
15.05.2019 10:20;TiiTaavit;Jens;Pelastus A
15.05.2019 10:30;Destroyer;Jens;Pelastus A
15.05.2019 10:40;CoderKing;Jens;Pelastus A
15.05.2019 10:50;Nimettömät;Jens;Pelastus A
15.05.2019 11:00;Palomiehet;Jens;Pelastus A
15.05.2019 11:10;Gopnik squad;Jens;Pelastus A
15.05.2019 11:20;Marsmallows;Jens;Pelastus A
15.05.2019 11:30;Comets;Jens;Pelastus A
