14.05.2019 9:10;Klåpare;Jens;Pelastus A
14.05.2019 9:20;Chip;Jens;Pelastus A
14.05.2019 9:20;Antoonio;Pekka;Pelastus B
14.05.2019 9:30;Kiinnitätkö jatkossa huomiota...;Pekka;Pelastus B
14.05.2019 9:40;Kouvostoliitto;Pekka;Pelastus B
14.05.2019 9:50;Ukko & ukot;Pekka;Pelastus B
14.05.2019 10:00;Beta Perunat;Pekka;Pelastus B
14.05.2019 10:10;VaLeOt;Pekka;Pelastus B
14.05.2019 10:20;Kongolo;Pekka;Pelastus B
14.05.2019 10:30;Lalan;Pekka;Pelastus B
14.05.2019 10:35;Muumilimu;Pekka;Pelastus B
14.05.2019 10:40;Roska-auto;Pekka;Pelastus B
14.05.2019 10:50;Team Kauksu;Pekka;Pelastus B
