36	SMM-team	0	Lappeenranta	
126	Smurffilimu	0	Rajakylän koulu, Oulu	
31	Sotekone	0	Veikkolan koulu, Kirkkonummi	
127	South Side Serpents	0	Rajakylän koulu, Oulu	
125	S.UDET	0	Rajakylän koulu, Oulu	
112	Sumogang	0	Roution koulu, Lohja	
66	Sumorektaajat	0	Vanttilan koulu, Espoo	
75	Super Tankki 2.0	0	Kempeleen Kirkonkylän koulu	
97	Susilääni	0	Pontuksen koulu, Lappeenranta	
79	Tahma-Ahmat	0	Pyörön koulu (Ala-Pyörö), Kuopio	
49	Tähtipelaajat	0	Koulumestari, Espoo	
47	Tanssibotti 2020	0	Joensuun Steinerkoulu	
110	TEAM JORIROBOTS	0	Bosund skola, Larsmo	
26	Team Kauksu	0	Kaukajärven koulu, Tampere	
144	Team Kössi	0	Tervajoen koulu, Vaasa	
99	teamMYRSKY	0	Myllymäen koulu, Lappeenranta	
107	Team Noob	0	Alanurmon koulu, Lapua	
106	Team #pushoutofthearena	0	Alanurmon koulu, Lapua	
4	Team SiNiMa	0	Kylmäojan koulun teknologiakerho, Kontiolahti	
57	Team Unicorn	0	Koulumestarin koulu, Espoo	
98	T.E.E.N.Robots	0	Voisalmen koulu, Lappeenranta	
100	Teletubbi	0	Kaukaan koulu, Lappeenranta	
1	TevaRobots	0	Tevaniemen koulu, Ikaalinen	
58	The Bears	0	Roution koulu, Lohja	
134	The Dark Sumo	0	Saaren koulu, Rovaniemi	
149	The Storm	0	Ylästön koulu, Vantaa	
8	TiiTaavit	0	Mäntynummen yhtenäiskoulu, Lohja	
46	T-squad	0	Solbrinkens Skola, Lohja	
101	Tuho15	0	Pontuksen koulu, Lappeenranta	
135	TUHOpossut	0	Saaren koulu, Rovaniemi	
48	Tuikkivat tähdet	0	Saaren koulu, Rovaniemi	
20	Ukko & ukot	0	Sammonlahden koulu, Lappeenranta	
19	UL	0	Naukion yhtenäiskoulu, Kuusankoski	
33	Unknown456	0	Kontiolahden teknologiakerho	
22	VaLeOt	0	Lehmijärven koulu, Lohja	
51	Väripläjäys	0	Kempeleen Kirkonkylän koulu	
102	Viis-Aat	0	Kesämäen koulu, Lappeenranta	
50	VoKon koirakoulu	0	Voikkaan koulu, Kouvola	
128	VVE- yksisarviset	0	Rajakylä, Oulu	
30	V-V-Team	0	Rajakylän koulu, Oulu	
35	WAW ROBB	0	Bosund skola, Larsmo	
103	Wololo	0	Voisalmen koulu, Lappeenranta	
113	Xtra-cola	0	Ojaniitun koulu, Lohja	
104	XXXTEHO	0	Kaukaan koulu, Lappeenranta	
52	Yksisarvinen	0	Alanurmon koulu, Lapua	
59	Yllättäviä käänteitä	0	Vanttilan koulu, Espoo	
