14.05.2019 13:00	Pelastus A	TevaRobots	Jens
14.05.2019 13:10	Pelastus A	Ambu	Jens
14.05.2019 13:20	Pelastus A	Pelastus Team	Jens
14.05.2019 13:30	Pelastus A	Team SiNiMa	Jens
14.05.2019 13:40	Pelastus A	Nuufa	Jens
14.05.2019 13:50	Pelastus A	Aha-tiim	Jens
14.05.2019 14:00	Pelastus A	SandWich SSA	Jens
14.05.2019 14:10	Pelastus A	TiiTaavit	Jens
14.05.2019 14:20	Pelastus A	Destroyer	Jens
14.05.2019 14:30	Pelastus A	CoderKing	Jens
14.05.2019 14:40	Pelastus A	Nimettömät	Jens
14.05.2019 14:50	Pelastus A	Palomiehet	Jens
14.05.2019 15:00	Pelastus A	Gopnik squad	Jens
14.05.2019 15:10	Pelastus A	Marsmallows	Jens
14.05.2019 15:20	Pelastus A	Comets	Jens
