14.05.2019 9:10	Pelastus A	Klåpare	Jens
14.05.2019 9:20	Pelastus A	Chip	Jens
14.05.2019 9:20	Pelastus B	Antoonio	Pekka
14.05.2019 9:30	Pelastus B	Kiinnitätkö jatkossa huomiota...	Pekka
14.05.2019 9:40	Pelastus B	Kouvostoliitto	Pekka
14.05.2019 9:50	Pelastus B	Ukko & ukot	Pekka
14.05.2019 10:00	Pelastus B	Beta Perunat	Pekka
14.05.2019 10:10	Pelastus B	VaLeOt	Pekka
14.05.2019 10:20	Pelastus B	Kongolo	Pekka
14.05.2019 10:30	Pelastus B	Lalan	Pekka
14.05.2019 10:40	Pelastus B	Roska-auto	Pekka
14.05.2019 10:50	Pelastus B	Team Kauksu	Pekka
